Bill No.,Session,Base URL w/o Bill ID,Session Appendage,Billnoappendage,Concat URL,URL to Bill Text,Hyperlink,Topic,Tags (No Code Ranges),Function,Code,Section,Bill Section,Code Division,Bill Section (With iterations),Date added to this list (thoroughness check),Checked for extra sections?,,,Special notes:
AB 2011,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,Bill Text,Affordable Housing and High Road Jobs Act - § 65912.100 - 65912.140,Affordable Housing and High Road Jobs Act of 2022,"Allows mixed-income developments in commercial zones, subject to streamlined ministerial review, under specified circumstances.",Government,§ 65912.120 - 65912.124,3,,3,11/9/22,Y,,,Article 3 of new section
AB 2011,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,Bill Text,Affordable Housing and High Road Jobs Act - § 65912.100 - 65912.140,Affordable Housing and High Road Jobs Act of 2022,Specifies labor standards for developments approved under Articles 2 or 3.,Government,§ 65912.130 - 65912.131,3,,3,11/9/22,Y,,,Article 4 of new section
AB 2011,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,Bill Text,Affordable Housing and High Road Jobs Act - § 65912.100 - 65912.140,Affordable Housing and High Road Jobs Act of 2022,Specifies that most labor provisions in the bill are not severable from the ministerial review provisions.,Government,§ 65912.140,3,,3,11/9/22,Y,,,Article 5 of new section
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,Aff. Housing and Sustainable Comm. - § 75200-75218.2,Affordable Housing and Sustainable Communities (AHSC) program,Awards additional points in Affordable Housing and Sustainable Communities program to prohousing jurisdictions.,Public Resources,§ 75218.1,21,,21,7/30/22,Y,,,
AB 1483,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB1483,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1483,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1483,Bill Text,Applications for Development Projects - § 65940-65947,Applications for Development Projects ,"Requires local agencies to report on fees, ordinances, zoning",Government,§ 65940.1,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66356",1,,Y,,,
AB 168,2020,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB168,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB168,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB168,Bill Text,Applications for Development Projects - § 65940-65946,Applications for Development Projects ,Specifies that a preliminary application doesn't precluse listing of tribal sites on historic registers,Government,§ 65941.1,4,,4,8/3/22,Y,,,
AB 602,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB602,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB602,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB602,Bill Text,Applications for Development Projects - § 65940-65946,Applications for Development Projects ,Requires localities to post their fee schedules online and to post how much developers actually pay for specific projects,Government,§ 65940.1,1,,1,8/4/22,Y,,,
SB 330,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,SB330,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB330,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB330,Bill Text,Applications for Development Projects - § 65940-65945,Applications for Development Projects ,Requires cities to compile a list of everything needed from a development applicant,Government,§ 65940,6 & 7,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66354",6/7,,Y,,,
SB 330,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,SB330,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB330,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB330,Bill Text,Applications for Development Projects - § 65940-65948,Applications for Development Projects ,Provides a list of information applicants must provide. States that applications are deemed preliminary applications if they include this information. ,Government,§ 65941.1,8,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66357",8,,Y,,,
SB 330,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,SB330,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB330,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB330,Bill Text,Applications for Development Projects - § 65940-65949,Applications for Development Projects ,"Specifies how cities must treat applications, including more accommodations for applicants.",Government,§ 65943,9 & 10,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66358",9/10,,Y,,,
SB 8,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB8,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB8,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB8,Bill Text,Applications for Development Projects - § 65940-65946,Applications for Development Projects ,Clarifies the definition of development project for the sake of the requirement that localities provide proponents with a checklist,Government,§ 65940,4 & 5,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66355",4/4.5/5/5.5,,Y,,,
SB 8,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB8,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB8,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB8,Bill Text,Applications for Development Projects - § 65940-65946,Applications for Development Projects ,Extends permit streamlining provisions until 2030,Government,§ 65941.1,6,,6/6.5,8/4/22,Y,,,
SB 8,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB8,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB8,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB8,Bill Text,Applications for Development Projects - § 65940-65946,Applications for Development Projects ,Clarifies definition of development project for other permit streamlining provisions. Extends those provisions until 2030,Government,§ 65943,7 & 8,,7/8,8/4/22,Y,,,
SB 330,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,SB330,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB330,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB330,Bill Text,Approval of Development Permits - § 65950-65945.7,Approval of Development Permits ,Sets time limits for processing applications,Government,§ 65950,11 & 12,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66359",11/12,,Y,,,
SB 8,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB8,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB8,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB8,Bill Text,Approval of Development Permits - § 65950-65945.7,Approval of Development Permits ,Extends to 2030 provisions that limit the time for localities to respond to applications,Government,§ 65950,9 & 10,,9/10,8/4/22,Y,,,
AB 2923,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,Bill Text,Bay Area Rapid Transit - § 28500 - 29757,Bay Area Rapid Transit ,"Defines ""Eligible Transit Oriented Development (TOD) project""  and includes conditions",Public Utilities,§ 29010.1,2,"Division 10, Part 2, SF Bay Area Rapid Transit District - § 28500-29757",2,,Y,,,
AB 2923,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,Bill Text,Bay Area Rapid Transit - § 28500 - 29757,Bay Area Rapid Transit ,Allows projects to proceed under the laws as they existed at time entered exclusive negotiating agreement,Public Utilities,§ 29010.1,7,,7,8/4/22,Y,,,
AB 2923,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,Bill Text,Bay Area Rapid Transit - § 28500 - 29757,Bay Area Rapid Transit ,Requires localities to report to the legislature how this law has impacted Transit Oriented Development (TOD) buildings,Public Utilities,§ 29010.11,8,,8,8/4/22,Y,,,
AB 2923,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,Bill Text,Bay Area Rapid Transit - § 28500 - 29757,Bay Area Rapid Transit ,Clarifies that developers can get density bonuses still. And clarifies that this section doesn't apply if a BART station has no land to build on,Public Utilities,§ 29010.12,9,,9,8/4/22,Y,,,
AB 2923,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,Bill Text,Bay Area Rapid Transit - § 28500 - 29757,Bay Area Rapid Transit ,Requires Bay Area Rapid Transit (BART) board to adopt Transit Oriented Development (TOD) zoning standards,Public Utilities,§ 29010.6,3,,3,8/4/22,Y,,,
AB 2923,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,Bill Text,Bay Area Rapid Transit - § 28500 - 29757,Bay Area Rapid Transit ,"Adds more conditions to eligible Transit Oriented Development (TOD) projects, allows ministerial approval",Public Utilities,§ 29010.7,4,,4,8/4/22,Y,,,
AB 2923,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,Bill Text,Bay Area Rapid Transit - § 28500 - 29757,Bay Area Rapid Transit ,"Requires replacing units, relocating people, and meeting minimum affordability requirements",Public Utilities,§ 29010.8,5,,5,8/4/22,Y,,,
AB 2923,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2923,Bill Text,Bay Area Rapid Transit - § 28500 - 29757,Bay Area Rapid Transit ,Clarifies localities can conduct design review and conditional use permitting if the conditions for ministerial approval are not met.,Public Utilities,§ 29010.9,6,,6,8/4/22,Y,,,
AB 2913,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2913,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2913,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2913,Bill Text,Building Standards Code - § 18935 - 18944.18,Building Standards Code ,Extends duration of building permits,Health and Safety,§ 18938.5,1,Division 13: Housing - § 17000-19996,1,,Y,,,
AB 2913,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2913,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2913,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2913,Bill Text,Building Standards Code - § 18935 - 18944.18,Building Standards Code ,Extends duration of building permits,Health and Safety,§ 18938.6,2,,2,8/4/22,Y,,,
AB 491,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB491,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB491,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB491,Bill Text,Buildings Used for Human Habitation - § 17910 - 17998.3,Buildings Used for Human Habitation ,Requires affordable units to have the same access to amenities as market rate units,Health and Safety,§ 17929,1,Division 13: Housing - § 17000-19995,1,,Y,,,
SB 13,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,SB13,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB13,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB13,Bill Text,Buildings Used for Human Habitation - § 17910 - 17998.3,Buildings Used for Human Habitation ,Gives Accessory Dwelling Unit (ADU) owners ability to delay enforcement,Health and Safety,§ 17980.12,2,Division 13: Housing - § 17000-19995,2/2.1/2.2/2.3/3,,Y,,,
SB 897,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB897,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB897,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB897,Bill Text,Buildings Used for Human Habitation - § 17910 - 17998.3,Buildings Used for Human Habitation ,Prohibits a locality from requiring correction of a health or safety violation in the primary residence as a condition of a permit for an Accessory Dwelling Unit (ADU),Health and Safety,§ 17980.12,6,,6,,Y,,,
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,Community-Based Transitional Housing - § 30035-30035.8,Community Based Transitional Housing ,"Changes Department of Finance (DOF) ""review"" of the ""Community-Based Transitional Housing"" program to an audit and extends the deadline by 1 year.",Government,§ 30035.7,2,,2,7/7/22,Y,,,
AB 1584,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB1584,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1584,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1584,Bill Text,Conditions of Ownership - § 707 - 714.6,ADUs,Makes covenants unenforceable if they restrict Accessory Dwelling Units (ADUs) on single-family zoned areas ,Civil,§ 714.3,1,,1,,Y,,,
AB 721,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB721,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB721,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB721,Bill Text,Conditions of Ownership - § 707 - 714.6,Conditions of Ownership ,Makes recorded covenants limiting development unenforceable against affordable housing developments.,Civil,§ 714.6,2,,2,,Y,,,
AB 306,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB306,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB306,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB306,Bill Text,Construction of School Buildings - § 17283.5 - 17317,Construction of School Buildings ,Exempts school employee housing from extra earthquake requirements on school buildings,Education,§ 17283.5,1,,1,,Y,,,
AB 1551,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB1551,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1551,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1551,Bill Text,Density Bonuses - § 65915-65922,Density Bonuses ,Reenacts recently expired law that extended density bonuses to commercial developments paired with affordable housing developments,Government,§ 65915.7,1,,1,11/28/22,Y,,,
AB 1763,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB1763,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1763,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1763,Bill Text,Density Bonuses - § 65915-65921,Density Bonuses ,Provides density bonuses for projects with 100% affordable units,Government,§ 65915,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66348",1,,Y,,,
AB 2334,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2334,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2334,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2334,Bill Text,Density Bonuses - § 65915-65922,Density Bonuses ,Adjusts maximum rent levels for some units in developments which receive density bonuses. Extends density bonuses to developments in low vehicle travel areas within designated counties. Adjusts standards used to determine maximum density allowed by localities. Extends prohibition on parking requirements for some developments.,Government,§ 65915,1,,"1,1.5",11/28/22,Y,,,
AB 2345,2020,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB2345,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB2345,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB2345,Bill Text,Density Bonuses - § 65915-65922,Density Bonuses ,Increases density bonuses and incentives,Government,§ 65915,2,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66349",2/2.5,,Y,,,
AB 2372,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2372,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2372,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2372,Bill Text,Density Bonuses - § 65915-65926,Density Bonuses ,"Allows cities to give floor area ratio bonus instead of a density bonus, limits new parking requirements",Government,§ 65917.2,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66353",1,,Y,,,
AB 2753,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2753,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2753,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2753,Bill Text,Density Bonuses - § 65915-65918,Density Bonuses ,Makes process adjustments to density bonus process,Government,§ 65915,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66345",1,,Y,,,
AB 2797,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2797,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2797,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2797,Bill Text,Density Bonuses - § 65915-65920,Density Bonuses ,Requires density bonuses to comply with coastal zone act,Government,§ 65915,2,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66347",2/2.1/2.2/2.3,,Y,,,
AB 571,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB571,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB571,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB571,Bill Text,Density Bonuses - § 65915-65925,Density Bonuses ,Prevents affordable housing fees from being imposed on affordable units,Government,§ 65915.1,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66352",1,,Y,,,
AB 682,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB682,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB682,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB682,Bill Text,Density Bonuses - § 65915-65922,Density Bonuses ,Makes shared housing developments eligible for density bonuses,Government,§ 65915,1,,"1,1.5",11/28/22,Y,,,
SB 1227,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,SB1227,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB1227,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB1227,Bill Text,Density Bonuses - § 65915-65919,Density Bonuses ,Provides density bonus for student housing with affordability restrictions,Government,§ 65915,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66346",1,,Y,,,
SB 290,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB290,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB290,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB290,Bill Text,Density Bonuses - § 65915-65923,Density Bonuses ,"Expands density bonus law, allows bonuses for projects with 20% lower income students.",Government,§ 65915,2,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66350",2,,Y,,,
SB 728,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB728,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB728,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB728,Bill Text,Density Bonuses - § 65915-65924,Density Bonuses ,Allows nonprofit housing organizations to purchase units under density bonus law,Government,§ 65915,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66351",1,,Y,,,
